contract_number,varchar(255),contract_number varchar(255)
property_id,integer,property_id integer
property_name_text,varchar(255),property_name_text varchar(255)
tracs_effective_date,DATE,tracs_effective_date DATE
tracs_overall_expiration_date,DATE,tracs_overall_expiration_date DATE
tracs_overall_exp_fiscal_year,integer,tracs_overall_exp_fiscal_year integer
tracs_overall_expire_quarter,varchar(2),tracs_overall_expire_quarter varchar(2)
tracs_current_expiration_date,DATE,tracs_current_expiration_date DATE
tracs_status_name,varchar(255),tracs_status_name varchar(255)
contract_term_months_qty,integer,contract_term_months_qty integer
assisted_units_count,integer,assisted_units_count integer
is_hud_administered_ind,varchar(1),is_hud_administered_ind varchar(1)
is_acc_old_ind,varchar(1),is_acc_old_ind varchar(1)
is_acc_performance_based_ind,varchar(1),is_acc_performance_based_ind varchar(1)
contract_doc_type_code,varchar(64),contract_doc_type_code varchar(64)
program_type_name,varchar(255),program_type_name varchar(255)
program_type_group_code,varchar(64),program_type_group_code varchar(64)
program_type_group_name,varchar(255),program_type_group_name varchar(255)
rent_to_FMR_ratio,"Decimal(6,2)","rent_to_FMR_ratio Decimal(6,2)"
rent_to_FMR_description,varchar(255),rent_to_FMR_description varchar(255)
0BR_count,integer,0BR_count integer
1BR_count,integer,1BR_count integer
2BR_count,integer,2BR_count integer
3BR_count,integer,3BR_count integer
4BR_count,integer,4BR_count integer
5plusBR_count,integer,5plusBR_count integer
0BR_FMR,"Decimal(19,4)","0BR_FMR Decimal(19,4)"
1BR_FMR,"Decimal(19,4)","1BR_FMR Decimal(19,4)"
2BR_FMR,"Decimal(19,4)","2BR_FMR Decimal(19,4)"
3BR_FMR,"Decimal(19,4)","3BR_FMR Decimal(19,4)"
4BR_FMR,"Decimal(19,4)","4BR_FMR Decimal(19,4)"
